START_DAY,END_DAY,COST,MAKE,MODEL
254,827,73045,Mazda,Miata
125,442,32688,Toyota,Tundra
223,274,6416,Chevrolet,Monte Carlo
379,748,74722,Mitsubishi,Outlander
491,730,26811,Dodge,Grand Caravan
937,962,3408,Chevrolet,Equinox
533,720,31777,Ford,Mustang
637,826,35856,Buick,Cascada
163,252,19496,Mazda,Miata
249,766,58747,Chevrolet,Camaro
324,921,88402,Subaru,Crosstrek
308,541,40679,Chevrolet,Trax
39,882,116561,Hyundai,Azera
750,889,29412,Ford,Flex
918,943,5977,BMW,7 Series
627,838,42963,Chevrolet,Express
44,939,49380,Infinity,QX50
341,926,84416,Subaru,Ascent
534,935,36441,Cadillac,CT6
443,466,5345,Toyota,Sienna
666,955,57587,Ford,Super Duty
49,96,7118,Kia,Soul
541,854,61253,Lexus,LC
22,937,58213,Chevrolet,Express
108,827,126910,GMC,Savana
343,738,24549,Dodge,Durango
622,781,31678,Mercedes,GLE
187,1004,115404,Mercedes,E-Class Wagon
148,869,109319,Toyota,Prius
327,872,72795,Mercedes,Roadster
245,758,96510,Toyota,Tundra
127,678,114384,Chevrolet,Cruze
451,660,47106,Hyundai,Santa Fe
737,786,12866,Infinity,Q50
764,865,10371,Ford,Super Duty
554,1023,41223,Jeep,Wrangler JK
23,322,29110,Honda,Pilot
307,978,38349,Mitsubishi,Outlander
706,815,19608,Hyundai,Ioniq
392,773,67607,GMC,Terrain
410,937,64971,Chevrolet,Tahoe
225,364,21897,Lexus,GS
832,897,7868,Subaru,Forester
690,791,14979,Chevrolet,Tahoe
114,313,12218,Dodge,Grand Caravan
567,626,11289,Ford,F250
87,822,104611,Hyundai,Elantra
349,650,48272,Hyundai,Accent
399,598,32520,Honda,Accord
312,759,26208,Mazda,Miata
237,362,17254,Toyota,Prius
819,822,636,Subaru,Outback
33,818,79394,Chevrolet,Malibu
245,454,31154,Honda,Pilot
118,597,89908,Mazda,CX-3
631,706,15463,Cadillac,Escalade
307,550,55470,Mercedes,GLE
741,818,15859,Chevrolet,Trax
556,751,16232,Honda,Accord
362,669,33145,Buick,Envision
90,613,68932,Infinity,Q70
84,679,70075,Chevrolet,Trax
217,612,43678,Dodge,Journey
198,991,133635,Ford,Edge
185,502,27330,Lexus,GX
435,654,23275,Jeep,Wrangler JK
